gene,f_score,p_value
234249_at,1.1484020248956668,0.3370045415140666
220973_s_at,1.1481783865643154,0.3371063310455663
1558176_at,1.1479804218793754,0.33719645642853746
237017_s_at,1.1477767567187087,0.3372891978616052
1562319_at,1.1472286435137875,0.3375388930028319
240833_at,1.1471800132685477,0.3375610541035574
214616_at,1.1470031832886391,0.33764164677637
234964_at,1.1469748880647739,0.33765454419045476
232894_at,1.1469742240753131,0.3376548468523425
242067_at,1.1466640213717645,0.33779626907666643
1562346_at,1.1466264902396273,0.3378133829469875
1560262_at,1.1466127984494932,0.33781962646328345
1553107_s_at,1.1463932705190991,0.3379197452223564
230466_s_at,1.1463508423651543,0.33793909800616817
1559997_x_at,1.14627573858894,0.33797335739666967
1557025_a_at,1.146085210653724,0.3380602816641551
1555995_a_at,1.146065165471744,0.33806942792376393
1559060_a_at,1.1459944667616593,0.33810168812330593
215276_at,1.1459919007527208,0.3381028590548783
233544_at,1.145763232033772,0.3382072195823287
244730_x_at,1.1457583767228134,0.3382094357533019
223525_at,1.1457263452294628,0.3382240565943362
50374_at,1.1456183767592165,0.33827334288232974
1558906_a_at,1.1454565317040846,0.338347234318312
234525_at,1.1454336270901315,0.338357692652152
243401_at,1.1453684980974705,0.33838743226134005
208148_at,1.145246201614716,0.33844328189924666
217878_s_at,1.1452437670524367,0.3384443937783332
217376_at,1.1450950525587857,0.33851231831090406
1565597_at,1.1450526692189826,0.3385316787374307
205927_s_at,1.1450145324482446,0.3385491001435169
216195_at,1.1449725764445424,0.3385682670861022
1562926_at,1.1447524881809865,0.3386688256835095
240280_at,1.1447121391448807,0.33868726389057363
238149_at,1.1446340192063154,0.33872296454390743
229619_at,1.144602258453956,0.33873748003436877
226115_at,1.1444725708512697,0.33879675599065856
1557895_at,1.144441466797641,0.33881097391211784
240056_at,1.144350025998527,0.3388527751230481
237422_at,1.1443177749631968,0.33886751936738757
1554958_at,1.1443176105260746,0.338867594544666
65635_at,1.144052284548493,0.3389889141254534
208338_at,1.1438530605822224,0.3390800323798394
214567_s_at,1.1436581605540006,0.3391691926338331
240982_at,1.1436504560000211,0.33917271760873374
1561564_at,1.1436291494616497,0.33918246589914863
235312_s_at,1.1435553509145648,0.3392162324294074
238659_at,1.1433875993771883,0.33929299750897624
244716_x_at,1.1432682827799534,0.33934760694062416
216507_at,1.1431749811731016,0.33939031476690473
1565874_at,1.142990851770619,0.3394746111116735
217440_at,1.1427344570542415,0.3395920201284134
232575_at,1.1425082520992231,0.3396956324620319
227939_s_at,1.1424523189915357,0.33972125644640067
241285_at,1.1424204130165148,0.339735873876186
213487_at,1.1424104327301026,0.33974044635971695
1552419_s_at,1.1423677232793388,0.33976001433534075
243621_at,1.142306494840111,0.3397880686901419
242011_at,1.142261399569216,0.3398087321888641
224140_at,1.1421368909947722,0.3398657897507852
202618_s_at,1.1420293275638083,0.3399150883772217
1563876_at,1.1420047685882713,0.33992634511179476
244469_at,1.141808246887558,0.34001643296708917
1566887_x_at,1.14176728265366,0.3400352139403708
208473_s_at,1.1416958317202455,0.34006797427974367
229215_at,1.1415424305201707,0.34013831773560593
1555404_a_at,1.1415263921991288,0.34014567294228537
222022_at,1.1415039946957348,0.34015594470308086
238970_at,1.141373704625639,0.340215702362599
244210_at,1.1412589759475342,0.34026832996468914
224491_at,1.1410111621882402,0.34038202847900373
230611_at,1.1407221910444565,0.3405146499381614
220475_at,1.1407014461789553,0.3405241723051896
211866_x_at,1.140660817298337,0.3405428225271923
1566044_at,1.1404649245474296,0.34063275670323906
218606_at,1.1403430976383082,0.34068869722497047
237793_at,1.1403143033703758,0.3407019200964694
1564327_at,1.140131434294381,0.3407859069333088
234135_x_at,1.1401217376693127,0.3407903608096152
1555153_s_at,1.1400405563934186,0.3408276510694136
213976_at,1.1399594195880698,0.3408649242722046
1559427_at,1.1395962889240505,0.3410317831085256
201570_at,1.1395202461685592,0.34106673336452104
237907_at,1.139509874266487,0.34107150065728975
239518_at,1.1395055957982472,0.34107346720855497
1554744_at,1.1394819083700105,0.34108435504616996
214528_s_at,1.1392967883334921,0.3411694546721617
1562381_at,1.1391895016522675,0.34121878235878694
1552804_a_at,1.13912732499696,0.34124737230063346
217697_at,1.1388590231729316,0.3413707649956435
207491_at,1.1387617847644207,0.3414154942895165
